Maximum_speed (km/h),Average_speed (km/h),Std_speed,Avg_acc (m/s^2),Std_acc,Mean_pos_acc,Mean_neg_acc,Avg_abs_jerk,Std_abs_jerk,Brake_time_pct,Acc_time_pct,Decel_time_pct,Const_speed_pct
51.5,36.82,8.28,2.22,0.67,1.26,-1.53,4.7,0.52,13.17,31.07,30.37,40.25
65.76,50.5,7.89,-0.16,0.32,0.84,-1.58,1.85,0.68,6.26,30.83,26.0,40.89
63.08,38.11,9.01,-0.11,0.63,1.28,-2.38,2.91,0.94,14.09,27.92,25.75,46.5
104.35,75.08,9.55,-0.36,0.19,0.65,-1.3,0.62,0.77,5.55,26.15,28.99,44.99
109.31,74.64,10.18,-0.64,0.27,0.9,-0.64,2.84,0.63,9.11,30.97,24.73,44.73
100.18,61.08,13.66,1.08,0.85,1.25,-1.49,2.35,1.29,7.86,22.87,31.36,45.55
76.66,44.08,6.92,0.07,0.68,1.22,-1.34,3.07,1.22,21.67,29.78,22.66,47.08
114.03,63.85,7.97,-0.22,0.72,0.77,-2.12,3.42,0.32,18.0,21.54,23.88,57.53
60.9,42.33,12.22,1.0,0.96,1.4,-2.0,1.28,0.99,16.97,29.85,17.2,52.69
40.6,29.2,11.64,0.86,0.52,1.78,-0.58,3.37,1.04,11.76,39.55,22.9,36.37
91.08,61.85,10.76,0.06,0.83,0.98,-1.52,5.56,0.98,20.26,31.45,28.26,41.89
71.56,46.73,6.38,0.2,0.5,1.9,-0.15,1.76,1.04,10.81,32.29,28.82,39.47
68.21,52.99,6.31,1.16,0.43,1.08,-0.97,2.86,0.69,21.26,26.43,25.02,51.55
65.71,41.18,12.31,1.55,0.78,0.91,-2.21,3.01,0.71,11.8,21.52,30.21,50.26
76.37,60.46,13.84,0.45,0.63,1.0,-0.93,1.74,0.53,22.56,32.45,24.83,46.7
82.43,63.81,11.72,0.37,0.69,1.22,-2.36,1.6,1.06,19.14,28.21,20.7,50.24
82.62,54.99,14.11,0.06,0.94,1.87,-1.1,2.39,0.76,17.4,25.3,19.71,55.4
69.78,40.9,13.42,-2.13,0.77,1.76,-0.81,1.76,0.64,13.19,37.6,18.23,46.67
80.67,58.51,13.84,0.68,0.63,1.08,-1.07,3.33,0.82,37.25,32.4,24.82,42.53
65.57,55.77,9.76,0.76,0.83,0.93,-1.91,3.19,1.37,11.62,26.45,23.4,49.35
88.28,67.11,12.36,0.38,0.95,1.05,-1.94,1.99,0.56,22.11,28.51,25.0,44.86
61.9,42.76,14.36,-0.51,0.61,1.13,-1.04,2.48,0.44,12.68,22.38,30.27,46.98
68.96,54.77,15.68,-0.39,0.76,1.06,-1.83,2.79,0.92,8.27,31.68,24.2,45.24
51.35,33.44,11.07,0.73,0.82,1.05,-0.65,3.38,0.76,25.28,19.1,26.68,56.5
61.11,44.38,9.56,0.1,0.5,1.41,-0.75,2.09,0.17,18.41,31.09,28.5,40.08
66.83,45.24,32.58,-1.03,0.61,1.32,-1.26,4.45,1.06,44.94,25.7,16.64,59.33
90.02,67.61,11.94,0.48,1.01,0.56,-0.7,3.11,0.88,24.74,30.57,22.88,47.77
80.33,57.15,13.55,-0.27,0.29,0.96,-1.3,0.6,0.45,12.36,31.76,27.03,44.43
101.94,62.01,7.94,-0.32,0.89,1.58,-0.45,1.57,0.68,11.27,32.12,18.63,50.64
57.06,36.1,20.33,0.91,0.78,1.4,-0.49,2.82,1.07,11.88,30.09,24.0,46.74
61.28,51.91,10.68,-1.4,0.35,1.1,-1.85,1.29,0.86,25.05,32.55,23.56,42.33
98.31,75.87,7.0,1.41,0.81,1.48,-1.0,2.0,0.74,5.68,30.23,20.98,48.99
72.55,58.76,11.06,-0.38,0.45,1.32,-0.64,2.27,0.89,18.44,32.57,20.14,50.05
61.59,38.12,11.5,0.21,0.6,0.52,-1.64,2.68,0.51,23.87,28.34,23.33,47.85
90.33,55.32,16.16,1.35,0.61,2.15,-0.43,3.16,1.13,24.93,28.93,23.85,49.82
64.94,35.37,5.99,0.74,0.65,1.13,-1.66,2.55,0.97,27.68,31.47,25.6,43.53
85.9,51.68,8.59,0.66,0.73,0.99,-1.5,3.14,1.16,17.93,32.45,26.87,39.81
71.66,52.1,13.96,2.04,0.58,0.87,-1.18,2.19,0.75,12.88,35.38,28.05,38.74
77.64,53.98,20.35,2.41,0.55,1.0,-1.47,2.0,0.9,10.51,28.33,29.81,41.83
93.78,60.9,8.93,-0.71,0.8,1.13,-1.28,1.33,0.98,9.1,29.62,28.07,44.02
110.7,90.13,11.81,0.64,0.25,1.03,-1.02,2.6,0.91,0.22,29.74,28.04,42.31
106.36,69.68,7.44,-0.94,0.86,2.06,-1.31,3.14,0.8,10.81,27.07,34.66,39.53
112.27,75.08,2.88,-0.22,0.48,0.81,-1.31,0.86,0.83,9.17,28.05,24.06,47.45
109.97,78.66,12.23,0.66,0.63,1.79,-1.13,2.42,0.69,9.05,29.91,25.51,43.92
114.55,69.09,8.36,1.71,0.36,1.63,-1.83,0.39,0.63,7.78,22.88,30.38,45.3
55.32,34.62,10.14,0.55,0.62,1.11,-1.43,1.65,0.81,16.09,23.98,33.7,42.97
109.86,81.14,11.62,0.49,0.26,1.2,-0.58,0.56,0.53,7.81,29.18,25.45,44.16
114.32,71.5,5.94,-1.02,0.76,1.16,-1.17,1.84,0.85,14.03,33.81,20.0,48.89
99.55,73.38,10.98,0.8,0.39,1.28,-0.62,2.18,0.34,18.47,21.71,28.02,52.06
68.11,45.6,17.18,0.82,0.45,1.12,-1.03,3.62,0.9,20.15,25.01,26.45,50.13
113.03,77.5,14.65,-0.31,0.62,1.17,-2.21,2.6,1.42,10.32,33.47,23.51,46.06
48.38,34.29,7.23,1.01,0.74,1.35,-1.8,2.09,0.68,25.75,29.46,28.62,45.94
67.61,44.49,15.43,0.22,0.52,2.5,-1.56,2.17,0.48,7.47,24.38,25.25,50.18
49.32,26.83,10.46,-0.11,0.37,1.37,-2.53,3.16,0.54,27.34,26.33,29.04,46.07
42.51,29.34,11.04,0.31,0.47,0.45,-0.9,2.58,0.55,17.06,27.44,29.05,42.46
95.09,63.06,12.94,0.79,0.78,1.39,-0.83,1.4,0.82,15.88,26.8,21.61,52.79
48.5,36.74,10.66,0.05,0.73,1.39,-0.71,2.74,0.98,16.13,35.33,21.33,46.75
125.94,105.62,6.45,-0.84,0.69,1.2,-2.16,1.27,0.55,14.09,32.99,23.43,44.96
64.39,54.97,11.58,1.94,0.33,1.5,-0.79,1.9,0.63,15.79,32.91,18.5,50.69
92.77,58.28,8.47,0.03,0.94,1.69,-2.25,2.92,0.83,14.65,30.51,23.36,46.5
55.13,33.36,11.36,-0.37,0.72,0.16,-1.98,3.37,0.82,9.77,34.91,23.29,43.09
98.12,72.56,13.01,-0.01,0.32,1.11,-1.79,0.86,0.6,3.09,28.3,26.51,43.81
114.08,63.84,6.46,-0.01,0.5,1.64,-1.05,2.76,1.16,9.61,27.55,26.33,47.43
97.29,63.82,9.46,0.21,0.81,1.24,-1.13,3.29,0.74,9.14,26.41,27.85,46.45
66.74,38.84,13.31,1.23,0.92,1.36,-1.21,2.03,0.26,3.78,30.51,22.99,47.69
57.56,37.17,19.75,0.54,0.71,1.69,-0.59,3.83,0.05,14.49,26.41,28.3,45.08
105.4,89.31,11.27,-0.85,0.55,1.82,-1.94,0.6,0.45,10.79,25.72,30.72,42.85
49.54,33.07,16.17,0.89,0.75,1.18,-1.19,3.84,1.38,22.41,37.15,27.3,36.69
90.84,63.85,4.85,0.89,0.67,0.73,-1.98,3.23,0.8,10.09,28.62,26.63,44.0
106.47,85.46,13.81,0.71,0.65,1.4,-1.92,0.83,0.79,8.16,23.37,22.49,51.22
115.15,73.53,7.26,0.15,0.59,0.24,-1.63,0.96,0.68,5.92,21.78,32.0,48.76
90.27,60.79,10.44,0.45,0.61,1.76,-1.81,1.39,0.45,18.21,28.39,21.84,51.1
110.42,75.38,4.71,-0.19,0.43,1.34,-1.58,1.19,1.45,14.63,28.16,17.44,51.6
68.25,51.57,11.83,0.73,0.67,1.18,-1.14,2.65,0.93,19.25,30.23,27.99,41.81
102.59,70.74,10.58,0.54,0.45,1.08,-1.42,1.07,0.99,11.83,34.94,21.12,44.02
80.78,55.66,9.05,-0.43,0.56,1.22,-0.68,2.2,0.74,22.58,27.15,20.49,53.73
97.23,61.25,10.3,-0.61,0.62,1.02,-0.94,3.11,0.33,13.03,36.34,20.89,40.51
91.3,60.89,9.05,-0.89,0.68,0.87,-0.28,2.03,0.98,13.48,23.32,25.53,50.83
106.66,71.4,7.54,-0.75,0.53,1.62,-1.14,1.92,0.75,9.37,31.77,30.25,40.3
75.28,48.89,22.3,1.56,0.46,0.96,-1.99,6.36,1.33,49.31,33.56,17.85,48.31
104.59,68.7,7.37,-1.1,0.45,1.09,-1.65,1.73,1.28,2.12,31.64,23.18,47.13
95.44,67.43,15.09,0.15,0.57,1.51,-1.57,1.53,0.76,5.98,24.37,25.35,49.01
116.68,75.98,6.47,1.76,0.9,1.04,-0.76,0.64,0.31,10.63,34.29,22.36,44.36
63.48,38.42,15.28,0.44,0.93,0.88,-0.62,3.53,0.92,7.09,31.28,27.26,43.09
101.89,75.08,7.25,0.45,0.06,1.22,-1.68,2.12,0.93,11.43,31.83,27.25,39.36
77.64,45.3,14.53,0.38,0.78,1.48,-1.19,2.13,0.86,15.7,34.25,27.9,39.34
88.96,56.14,10.83,0.13,0.54,1.09,-1.45,2.39,0.79,13.88,28.46,23.16,50.75
60.48,41.92,14.62,-1.24,0.68,1.48,-0.56,1.73,1.18,18.25,23.74,27.2,46.17
112.01,58.62,9.59,-0.51,0.81,0.67,-1.69,2.71,0.96,7.8,35.53,26.52,39.11
48.91,32.72,12.92,-0.18,0.44,0.78,-2.63,2.26,0.22,20.02,37.02,23.32,40.67
72.58,52.58,10.81,0.52,0.69,0.96,-0.6,3.46,0.79,20.91,33.45,26.51,39.54
98.25,76.55,10.54,1.23,0.28,1.87,-1.89,1.81,0.73,6.8,31.57,30.27,39.59
61.23,39.37,14.24,-0.45,0.85,1.29,-1.54,3.66,0.73,28.68,31.42,24.77,41.87
97.2,80.0,13.54,1.43,0.63,0.81,-1.89,1.98,0.86,12.57,34.52,25.94,38.21
52.86,29.81,8.68,0.21,0.39,0.68,-0.83,2.0,0.95,24.72,34.25,24.74,43.43
91.81,50.81,11.6,-0.13,0.79,0.8,-0.89,2.54,0.69,9.3,36.18,22.51,40.25
114.01,82.1,10.3,-0.18,0.77,1.34,-0.61,2.28,0.73,8.14,28.64,22.86,47.14
115.47,96.13,6.74,0.82,0.58,1.33,-1.0,1.61,1.07,3.83,29.38,22.65,46.78
93.89,70.46,11.55,-1.33,0.5,0.36,-1.26,2.69,1.34,11.98,32.24,25.87,39.48
117.5,75.86,8.75,-0.62,0.98,1.52,-1.2,1.99,0.66,15.68,20.45,22.66,57.56
59.59,38.23,13.02,0.51,0.75,0.76,-2.16,2.05,1.12,13.76,36.32,24.32,39.06
79.57,69.46,10.87,1.72,0.29,1.44,-0.99,2.22,0.7,12.47,29.68,28.64,41.59
63.19,46.06,11.16,0.85,0.98,0.93,-0.7,3.17,0.88,14.13,41.11,19.42,37.81
117.14,84.37,3.07,0.88,0.88,1.1,-1.05,0.86,0.43,18.34,30.35,28.63,37.24
124.79,87.14,7.67,0.8,0.3,1.15,-0.57,1.3,1.06,1.21,29.81,24.25,46.96
82.56,48.36,12.3,0.49,0.38,0.56,-1.6,3.87,0.49,14.46,32.98,25.19,43.47
48.0,30.63,13.16,0.84,0.64,1.27,-0.39,3.15,1.21,15.72,35.79,27.93,37.63
61.6,37.54,12.43,-0.88,0.5,1.36,-0.64,3.53,1.21,15.46,33.76,22.98,43.04
100.04,79.86,8.97,-0.85,0.43,0.54,-0.68,1.84,0.74,5.71,35.65,21.9,45.24
66.27,41.91,13.0,1.53,0.29,0.94,-1.74,2.9,0.82,9.44,26.43,29.58,45.38
105.78,86.71,5.85,0.79,0.62,1.05,-1.2,1.54,0.72,8.28,27.15,21.17,50.35
98.5,72.79,4.31,-0.3,0.32,0.89,-1.13,1.97,0.85,10.08,28.25,19.82,50.69
94.63,76.75,31.04,0.25,0.34,1.05,-1.93,5.61,0.81,27.72,23.11,19.05,54.07
65.52,45.47,15.56,1.36,0.58,1.7,-1.12,1.84,1.14,17.94,35.73,23.57,41.33
69.68,48.42,11.65,-0.45,0.53,1.5,-1.56,1.95,0.55,18.23,27.02,25.89,46.43
98.75,81.27,11.03,0.6,0.66,1.1,-1.0,2.61,1.24,17.73,30.32,23.41,46.11
95.9,75.2,7.18,0.05,0.75,0.96,-0.91,0.06,0.67,6.53,26.0,25.5,46.64
56.4,43.0,9.75,0.87,0.79,1.49,-0.66,2.22,1.01,23.17,25.95,30.21,44.92
97.44,61.92,10.82,-0.04,0.56,1.46,-2.25,2.53,0.72,20.0,30.47,20.94,46.89
65.83,51.88,10.53,2.28,0.51,1.13,-0.94,2.97,0.73,19.04,29.7,25.21,45.58
62.82,42.84,13.6,-0.83,0.53,1.27,-1.38,4.1,0.75,12.89,23.47,25.34,51.14
65.59,42.33,7.43,0.74,0.27,1.44,-1.34,2.29,0.77,22.65,27.01,29.27,45.45
65.01,49.76,10.79,-0.73,0.55,0.5,-1.15,2.53,0.54,20.13,23.68,25.06,49.85
116.45,75.76,14.22,-0.64,0.69,2.09,-1.61,0.86,0.87,13.67,27.74,25.33,48.46
55.78,45.25,18.42,0.43,0.63,1.39,-1.33,2.53,1.19,29.68,26.22,28.44,45.49
108.57,65.35,11.41,-0.72,0.4,0.78,-0.54,1.55,1.12,7.65,21.53,27.68,50.26
113.5,89.02,11.47,0.63,0.46,1.2,-0.6,2.15,0.69,5.24,27.93,22.74,48.69
88.03,65.5,9.43,0.64,0.61,1.33,-1.35,3.42,0.87,11.69,33.45,24.52,42.46
115.12,99.95,4.95,1.76,0.4,1.26,-0.69,1.49,0.93,13.4,33.46,26.31,42.2
72.06,57.58,14.22,1.02,0.43,0.97,-2.24,2.31,0.84,10.89,26.38,33.54,42.04
56.3,40.18,7.19,0.76,1.1,1.42,-0.32,2.31,0.8,19.7,27.97,30.42,40.75
68.25,55.68,16.64,0.84,0.44,1.54,-0.67,1.99,0.81,12.05,31.52,31.41,36.85
98.53,82.55,8.5,-0.14,0.78,1.29,-0.94,6.64,0.83,16.08,31.88,21.19,44.44
107.17,83.34,7.75,0.93,0.5,0.61,-0.98,1.72,1.13,1.5,32.68,27.97,37.77
76.53,67.83,16.48,-0.2,0.43,1.4,-0.71,1.67,1.12,26.86,28.99,28.94,39.0
54.82,39.78,13.05,-0.98,0.69,1.62,-1.64,4.2,0.22,16.31,25.17,25.58,47.85
115.59,95.75,6.09,1.49,0.48,1.06,-1.73,1.14,0.45,16.88,26.33,17.14,57.21
47.37,30.82,8.93,0.51,0.67,1.33,-1.91,2.36,0.57,16.76,31.22,23.94,41.85
85.57,64.89,16.03,-0.19,0.16,0.84,-0.69,10.87,0.93,28.45,29.32,25.65,44.18
63.53,46.0,12.97,0.12,0.83,0.97,-1.16,3.37,1.26,16.8,28.4,26.54,44.16
84.02,61.76,17.47,0.94,1.05,1.04,-1.68,4.72,0.75,24.65,36.78,27.1,35.6
56.15,46.43,10.76,-0.41,0.4,1.56,-0.78,2.8,0.82,26.82,25.57,31.02,43.75
124.94,112.04,6.55,-1.15,0.3,1.06,-0.38,1.87,0.38,17.07,37.17,25.57,38.77
61.25,45.25,11.65,-0.24,0.8,1.99,-0.6,0.94,0.69,15.04,25.88,24.2,46.53
66.24,46.53,8.67,0.1,0.31,1.04,-1.23,2.11,0.49,3.25,35.17,33.36,32.83
81.51,64.07,10.76,1.41,0.92,1.59,-0.22,3.71,1.03,29.37,29.02,28.31,41.07
122.56,81.04,7.98,0.63,0.54,1.19,-1.35,0.14,1.08,10.32,33.84,24.6,42.13
60.61,51.69,14.72,0.86,-0.09,1.2,-1.34,1.68,0.71,19.12,34.15,23.57,43.19
60.88,47.76,11.4,-0.45,0.72,1.03,-1.23,3.4,1.18,17.48,27.72,20.44,53.27
109.01,79.59,9.09,-0.87,0.7,1.43,-1.45,1.72,0.79,7.83,37.65,26.14,39.66
73.33,49.4,12.17,-0.54,0.4,1.25,-1.16,2.65,0.42,17.09,24.06,32.75,42.5
91.7,76.23,16.39,-0.01,0.63,0.73,-0.95,2.1,0.48,13.54,27.34,33.51,39.38
105.87,77.71,10.54,1.33,0.54,1.68,-0.62,1.24,1.05,6.26,28.12,34.07,38.83
99.33,59.36,14.18,-0.26,0.78,1.32,-0.12,2.76,0.66,21.11,28.62,23.2,47.97
71.74,56.42,13.64,1.12,0.57,1.06,-0.95,2.35,0.77,12.92,30.75,25.29,43.24
100.88,79.96,7.3,0.27,0.88,1.25,-1.32,2.7,0.9,13.7,31.44,25.17,46.14
106.48,67.53,8.02,0.05,1.01,1.75,-0.45,1.83,0.79,10.11,28.41,22.6,44.65
69.29,52.23,10.23,-1.08,0.4,1.26,-1.02,2.66,0.63,17.53,23.34,32.01,46.1
116.43,80.34,8.95,1.16,0.94,1.11,-0.93,0.46,0.88,2.38,26.8,33.25,42.54
113.37,74.78,3.35,0.53,0.65,1.69,-1.36,0.41,0.51,2.35,30.45,27.49,41.7
81.9,52.33,17.86,0.48,1.0,1.67,-0.26,3.46,1.12,18.29,30.3,27.6,41.47
108.65,66.66,11.15,0.63,0.73,0.51,-1.26,1.22,0.69,6.34,31.87,32.85,37.06
136.44,101.13,9.25,1.03,0.55,1.4,-1.13,0.74,0.75,10.22,28.62,38.53,34.95
106.35,88.71,12.89,-0.11,0.53,1.73,-1.32,2.38,0.93,9.62,27.7,26.99,42.64
52.61,39.9,12.08,0.41,0.77,1.57,-1.86,3.99,0.66,22.21,29.3,24.71,43.13
56.01,45.63,9.91,0.5,0.6,1.09,-1.36,2.64,0.77,29.16,26.32,24.29,46.74
54.0,35.47,11.21,0.08,0.41,1.63,-1.52,2.39,0.54,10.89,30.39,23.31,48.7
68.52,48.12,14.71,0.24,0.48,1.12,-1.44,3.69,1.19,15.1,37.8,15.09,48.02
83.72,56.77,9.03,-0.83,0.89,0.88,-0.4,2.61,0.7,21.83,22.77,26.82,53.64
70.16,51.53,13.39,0.02,0.52,1.54,-1.77,2.51,0.74,16.61,28.01,26.04,46.52
82.93,59.3,12.61,-0.04,0.75,1.27,-1.58,2.29,0.69,8.75,35.92,10.79,55.71
57.35,41.28,13.94,-0.1,0.35,0.71,-0.69,2.81,0.62,14.52,32.89,13.66,53.36
113.87,79.47,12.94,1.19,0.6,0.69,-0.66,2.57,0.95,14.37,29.37,23.28,49.06
86.72,56.97,13.65,0.56,0.71,1.68,-2.32,2.59,1.13,10.12,29.95,26.24,41.87
95.46,58.97,9.19,-0.3,0.29,1.57,-2.04,3.74,0.88,18.59,34.02,19.2,49.1
92.16,70.36,12.03,-0.74,0.35,1.81,-1.88,2.61,0.84,5.37,30.19,21.14,49.1
62.28,37.14,9.13,0.21,0.57,1.59,-1.33,4.89,0.94,10.8,30.14,25.11,45.48
97.02,76.93,14.09,-0.52,0.51,1.22,-1.13,3.2,0.89,16.9,27.62,31.07,40.28
109.15,71.35,7.27,0.47,0.62,1.8,-0.18,1.93,1.03,10.97,28.77,23.91,46.25
68.26,56.63,11.93,-1.16,0.29,1.2,-0.64,4.31,0.18,12.07,32.62,25.08,42.97
53.34,34.32,8.31,1.3,0.68,1.0,-1.87,2.54,0.81,18.63,26.81,26.15,47.2
51.35,33.86,16.25,-0.34,0.73,1.67,-1.0,2.94,0.47,22.46,34.73,23.38,39.35
65.13,43.69,14.16,-0.22,0.63,1.16,-1.21,3.74,0.93,17.58,33.94,24.53,38.55
95.98,85.21,9.57,0.58,0.88,0.97,-0.6,1.46,0.69,4.85,35.54,26.62,38.16
63.41,49.38,9.6,0.2,0.6,1.02,-1.11,2.6,0.65,4.6,28.05,26.48,44.52
91.68,67.84,8.83,1.51,0.44,0.9,-1.36,3.84,1.13,10.05,30.41,32.14,37.45
94.14,67.54,16.07,0.01,0.84,1.04,-1.35,2.73,0.5,13.67,37.74,22.84,36.69
66.84,36.79,9.26,0.45,0.72,0.66,-0.97,2.56,0.62,14.07,43.13,22.32,34.24
102.92,53.68,6.7,0.41,0.32,1.15,-0.95,0.6,0.86,10.37,32.76,27.73,39.73
66.75,42.66,14.42,-0.26,0.47,1.83,-1.73,2.99,1.0,20.85,36.24,21.43,40.93
94.83,56.14,7.94,0.36,0.23,1.39,-1.02,1.32,0.78,5.7,38.82,17.25,44.21
80.31,62.05,12.33,0.91,1.06,1.98,-1.04,1.34,0.71,12.53,32.59,20.52,45.35
109.78,69.85,6.26,0.73,0.81,1.41,-1.02,2.67,1.13,8.85,31.41,32.07,36.18
131.95,94.43,13.11,0.7,0.73,1.48,-0.79,3.53,0.83,4.82,36.43,22.12,38.98
66.77,38.67,13.23,0.01,0.68,1.99,-1.64,1.84,0.81,26.18,28.45,22.75,47.32
129.19,108.59,12.3,-0.29,0.72,1.31,-0.47,0.73,0.78,11.29,34.32,19.5,45.03
130.65,108.68,6.93,0.09,0.74,1.71,-1.04,3.19,0.88,5.84,31.84,21.73,45.97
116.29,70.65,8.98,0.32,1.0,1.65,-1.71,0.3,0.86,5.52,25.36,31.34,43.99
48.16,40.91,12.61,-0.99,0.41,1.4,-1.78,2.74,1.06,14.14,33.46,22.41,43.97
47.36,35.59,7.15,-0.97,0.52,1.64,-0.75,3.59,0.85,19.63,29.86,28.53,40.82
48.98,36.41,11.2,1.49,1.21,1.32,-0.94,2.73,0.74,17.91,20.87,32.02,43.39
52.71,32.8,9.58,-0.44,0.19,1.23,-1.23,1.49,0.84,21.18,28.09,24.84,43.63
95.6,55.32,12.03,-0.36,0.52,1.42,-1.6,1.01,0.49,10.98,31.11,21.42,50.44
69.18,55.73,5.93,-0.13,0.82,1.35,-0.72,0.54,0.67,19.02,25.07,26.6,47.1
113.01,70.93,7.63,-1.01,0.43,1.23,-0.79,2.72,0.54,9.01,36.01,23.09,38.8
108.36,69.09,17.59,1.7,0.58,0.98,-1.96,3.91,1.1,18.12,23.61,27.52,50.24
55.69,36.3,11.47,0.78,0.45,1.19,-0.12,1.37,0.57,25.4,40.25,17.34,43.13
79.59,44.5,11.2,-0.3,0.46,1.18,-1.24,2.19,1.23,16.81,24.42,30.39,45.07
61.62,47.07,11.25,-0.95,0.58,1.01,-1.43,1.96,0.44,19.97,27.95,32.15,40.96
89.59,67.61,11.78,-0.13,0.74,0.48,-1.17,2.28,0.53,19.14,26.48,24.51,48.55
84.55,63.25,19.44,-0.13,0.58,0.82,-1.29,6.97,0.84,27.42,27.16,24.09,47.64
127.97,93.27,5.66,-1.06,0.73,1.3,-0.75,0.94,0.56,4.32,31.78,24.74,43.78
57.84,38.66,12.03,0.13,0.56,1.03,-1.29,1.69,0.64,19.32,31.87,18.45,49.94
97.69,72.59,8.76,1.26,0.78,0.74,-1.71,0.19,0.09,7.31,29.8,22.59,49.74
104.34,75.72,8.09,1.5,0.72,1.43,-1.46,1.17,0.83,7.12,33.49,14.12,52.16
95.87,65.23,11.5,1.06,0.71,1.03,-2.07,2.16,0.15,20.11,31.25,31.33,39.92
98.12,60.66,7.23,-0.09,0.5,1.29,-1.18,1.92,0.32,7.6,32.66,23.39,45.26
83.05,56.6,8.95,0.96,0.61,0.96,-1.18,0.12,0.73,4.21,32.72,24.1,46.8
51.88,39.64,9.28,-0.87,0.53,0.8,-1.24,3.06,1.11,7.34,27.83,24.76,48.47
133.64,108.95,3.75,2.05,0.37,1.32,-0.41,1.2,0.95,3.22,31.16,21.2,50.14
103.58,79.92,12.37,0.37,0.57,1.25,-0.79,1.07,0.55,10.2,30.77,24.89,45.39
101.43,76.65,16.28,0.22,0.39,0.9,-0.18,2.77,1.32,7.49,31.15,26.38,43.11
60.48,38.84,15.29,0.43,0.66,1.71,-1.5,2.01,0.62,5.4,31.9,18.77,49.7
64.61,49.71,33.49,-0.74,0.3,0.78,-1.98,9.19,0.59,36.0,26.2,16.95,56.29
84.07,73.63,13.67,0.37,0.63,0.66,-0.67,0.73,1.1,20.81,37.12,28.12,35.83
61.0,35.27,16.1,-0.72,0.51,0.57,-1.41,1.94,0.62,27.9,27.6,24.95,44.62
61.17,42.73,8.62,0.56,0.59,1.82,-1.5,1.35,0.13,14.48,25.83,28.52,45.22
107.71,77.67,3.08,0.83,0.8,1.5,-0.9,0.65,1.22,6.34,32.92,31.12,33.68
59.54,44.33,14.19,0.62,0.43,0.68,-1.3,1.69,1.03,13.03,26.79,28.14,46.76
59.1,33.88,6.57,-0.43,0.53,0.92,-1.17,3.05,1.04,15.49,23.49,22.52,51.86
91.25,64.98,13.7,-0.36,0.67,0.62,-1.91,1.2,0.45,17.29,34.08,30.34,32.85
121.59,98.06,14.16,0.9,0.76,1.18,-1.27,3.17,0.48,4.98,25.4,23.75,51.87
62.61,51.67,15.68,1.4,0.46,1.18,-1.38,2.73,0.38,25.45,29.05,32.66,39.65
92.45,66.16,5.14,0.17,0.64,0.21,-1.91,1.15,0.4,12.35,26.16,27.81,41.78
100.04,64.29,11.16,0.52,0.37,1.37,-1.53,2.26,0.26,11.08,34.1,31.53,35.24
76.38,58.51,17.89,0.02,0.93,1.44,-1.37,2.86,1.25,14.02,34.45,16.65,50.31
68.94,54.52,13.07,2.73,0.61,1.25,-2.01,3.24,0.81,22.15,25.25,23.17,51.98
58.33,47.39,15.35,0.37,0.65,1.53,-1.54,4.05,1.28,10.52,31.24,30.49,39.62
43.93,34.51,14.11,0.58,0.73,1.4,-1.26,2.18,0.82,21.96,31.3,22.02,43.36
59.18,42.94,14.05,0.77,0.66,0.83,-1.22,2.69,0.9,18.43,29.85,26.65,43.63
70.31,53.36,8.93,-0.28,0.79,1.46,-0.74,3.19,0.89,14.79,32.39,25.54,41.54
83.88,54.39,9.33,-0.2,0.19,0.9,-1.06,2.28,0.82,24.3,36.15,26.23,38.25
58.93,37.97,8.66,0.65,0.51,1.85,-1.41,2.52,0.7,13.39,30.07,27.05,45.45
116.79,76.48,10.25,-0.3,0.66,1.32,-1.6,0.66,0.91,4.8,31.96,22.4,43.2
118.01,89.12,9.06,0.81,0.65,1.52,-1.26,1.39,1.1,7.51,28.45,25.04,46.48
77.37,52.42,6.15,-0.32,0.57,1.6,-1.45,4.4,0.35,24.81,25.93,22.9,49.32
136.98,108.04,14.0,-0.13,0.8,2.1,-1.85,2.02,0.25,11.75,26.66,32.36,42.29
70.89,44.95,12.6,0.99,0.48,1.09,-1.67,3.25,0.84,20.2,32.68,28.83,37.29
85.67,53.59,13.52,-0.9,0.72,2.01,-1.6,3.1,1.04,26.93,32.08,24.4,43.45
111.88,97.07,7.63,0.22,0.48,0.56,-1.0,2.82,1.08,6.13,25.61,35.21,36.71
96.69,62.62,13.32,0.25,0.41,0.01,-1.98,2.16,0.97,4.62,31.02,21.66,47.68
119.23,95.56,10.23,0.78,0.38,1.5,-1.9,1.17,0.23,13.47,32.22,17.77,51.9
76.75,49.47,9.3,-0.02,0.05,1.23,-1.9,1.42,0.6,16.62,19.76,26.58,52.96
100.39,82.12,16.17,0.66,0.87,0.33,-1.46,2.09,1.37,19.85,24.86,28.36,45.9
103.29,82.41,11.02,-0.09,0.28,0.92,-2.29,2.21,1.28,11.14,26.32,27.98,48.78
73.3,49.98,14.93,-0.28,0.55,0.31,-1.86,3.12,0.81,6.71,37.78,22.11,43.35
96.09,67.77,16.08,0.14,0.38,0.88,-0.65,2.22,0.61,14.97,29.74,30.84,39.21
83.65,58.23,12.72,0.78,0.7,1.31,-1.05,2.01,0.2,10.52,30.74,24.51,44.56
60.03,39.3,10.16,-1.08,0.39,1.24,-1.3,2.63,1.05,23.98,24.01,26.65,48.7
